DATASET_SYMBOL																						
SEPARATOR	TAB																					
COLOR	#6a3d9a																					
DATASET_LABEL	Spike Sequence																					
LEGEND_COLORS	#C887A0	#7FAA69	#E8AAA8	#5A42A7	#767DF8	#5E63F8	#45563B	#688657	#A2C3BE	#F1C892	#E49070	#3D3C8A	#5F65B9	#AEB2DB	#888888	#EFC8D7	#AAD492	#77A2A0	#A1A9FA	#E2D268	#DB726B	#E2E2E2
HK.3	2	10	#77A2A0	1	1																	
XBB.2.3	2	10	#A1A9FA	1	1																	
XBB.2.3.11	2	10	#E2D268	1	1																	
XBB.2.3.3	2	10	#DB726B	1	1																	
XBB.1.11.1	2	10	#F1C892	1	1																	
FP.4	2	10	#F1C892	1	1																	
XBB.1.15.1	2	10	#F1C892	1	1																	
FU.1	2	10	#E8AAA8	1	1																	
FU.2	2	10	#E8AAA8	1	1																	
FU.3	2	10	#E8AAA8	1	1																	
XBB.1.16.10	2	10	#7FAA69	1	1																	
XBB.1.16.13	2	10	#7FAA69	1	1																	
XBB.1.16.18	2	10	#7FAA69	1	1																	
XBB.1.16.19	2	10	#7FAA69	1	1																	
XBB.1.16.2	2	10	#7FAA69	1	1																	
GY.5	2	10	#7FAA69	1	1																	
GY.6	2	10	#7FAA69	1	1																	
GY.7	2	10	#7FAA69	1	1																	
GY.8	2	10	#5A42A7	1	1																	
XBB.1.16.21	2	10	#7FAA69	1	1																	
XBB.1.16.22	2	10	#7FAA69	1	1																	
XBB.1.16.3	2	10	#7FAA69	1	1																	
XBB.1.16.5	2	10	#7FAA69	1	1																	
XBB.1.16.9	2	10	#5A42A7	1	1																	
GA.1	2	10	#767DF8	1	1																	
GA.2	2	10	#767DF8	1	1																	
GA.3	2	10	#767DF8	1	1																	
GA.5	2	10	#767DF8	1	1																	
XBB.1.18.1	2	10	#F1C892	1	1																	
FE.1	2	10	#EFC8D7	1	1																	
FE.1.1	2	10	#EFC8D7	1	1																	
FE.1.1.3	2	10	#EFC8D7	1	1																	
FE.1.1.4	2	10	#EFC8D7	1	1																	
FE.1.2	2	10	#EFC8D7	1	1																	
XBB.1.19	2	10	#F1C892	1	1																	
GW.1	2	10	#5E63F8	1	1																	
XBB.1.22	2	10	#F1C892	1	1																	
FY.1	2	10	#45563B	1	1																	
FY.3	2	10	#45563B	1	1																	
FY.6	2	10	#45563B	1	1																	
XBB.1.22.2	2	10	#F1C892	1	1																	
XBB.1.22.3	2	10	#F1C892	1	1																	
XBB.1.35	2	10	#F1C892	1	1																	
XBB.1.37.1	2	10	#F1C892	1	1																	
XBB.1.42	2	10	#888888	1	1																	
XBB.1.42.2	2	10	#888888	1	1																	
XBB.1.43.1	2	10	#F1C892	1	1																	
XBB.1.45.1	2	10	#F1C892	1	1																	
XBB.1.5.10	2	10	#EFC8D7	1	1																	
XBB.1.5.11	2	10	#F1C892	1	1																	
XBB.1.5.13	2	10	#F1C892	1	1																	
EK.3	2	10	#F1C892	1	1																	
XBB.1.5.14	2	10	#F1C892	1	1																	
XBB.1.5.15	2	10	#F1C892	1	1																	
FD.1	2	10	#F1C892	1	1																	
FD.4	2	10	#F1C892	1	1																	
XBB.1.5.16	2	10	#F1C892	1	1																	
XBB.1.5.17	2	10	#F1C892	1	1																	
XBB.1.5.18	2	10	#F1C892	1	1																	
XBB.1.5.19	2	10	#F1C892	1	1																	
XBB.1.5.20	2	10	#F1C892	1	1																	
XBB.1.5.21	2	10	#F1C892	1	1																	
XBB.1.5.23	2	10	#F1C892	1	1																	
XBB.1.5.24	2	10	#F1C892	1	1																	
XBB.1.5.26	2	10	#F1C892	1	1																	
EU.1.1.1	2	10	#5F65B9	1	1																	
XBB.1.5.31	2	10	#F1C892	1	1																	
XBB.1.5.32	2	10	#F1C892	1	1																	
XBB.1.5.33	2	10	#F1C892	1	1																	
XBB.1.5.34	2	10	#F1C892	1	1																	
XBB.1.5.36	2	10	#F1C892	1	1																	
XBB.1.5.39	2	10	#F1C892	1	1																	
XBB.1.5.43	2	10	#F1C892	1	1																	
XBB.1.5.46	2	10	#F1C892	1	1																	
XBB.1.5.47	2	10	#F1C892	1	1																	
XBB.1.5.48	2	10	#F1C892	1	1																	
XBB.1.5.49	2	10	#F1C892	1	1																	
XBB.1.5.51	2	10	#F1C892	1	1																	
XBB.1.5.52	2	10	#F1C892	1	1																	
XBB.1.5.54	2	10	#F1C892	1	1																	
XBB.1.5.55	2	10	#F1C892	1	1																	
XBB.1.5.57	2	10	#F1C892	1	1																	
XBB.1.5.59	2	10	#EFC8D7	1	1																	
XBB.1.5.61	2	10	#F1C892	1	1																	
XBB.1.5.62	2	10	#F1C892	1	1																	
XBB.1.5.63	2	10	#F1C892	1	1																	
XBB.1.5.64	2	10	#F1C892	1	1																	
XBB.1.5.65	2	10	#F1C892	1	1																	
XBB.1.5.66	2	10	#F1C892	1	1																	
XBB.1.5.67	2	10	#F1C892	1	1																	
HZ.2	2	10	#AEB2DB	1	1																	
XBB.1.5.69	2	10	#F1C892	1	1																	
XBB.1.5.7	2	10	#F1C892	1	1																	
XBB.1.5.72	2	10	#EFC8D7	1	1																	
XBB.1.5.73	2	10	#F1C892	1	1																	
GN.1	2	10	#EFC8D7	1	1																	
GN.1.1	2	10	#EFC8D7	1	1																	
GN.2	2	10	#F1C892	1	1																	
GN.4	2	10	#F1C892	1	1																	
XBB.1.5.75	2	10	#F1C892	1	1																	
XBB.1.5.76	2	10	#F1C892	1	1																	
XBB.1.5.77	2	10	#F1C892	1	1																	
XBB.1.5.78	2	10	#F1C892	1	1																	
XBB.1.5.79	2	10	#F1C892	1	1																	
XBB.1.5.8	2	10	#F1C892	1	1																	
XBB.1.5.80	2	10	#F1C892	1	1																	
XBB.1.5.86	2	10	#F1C892	1	1																	
HA.1	2	10	#EFC8D7	1	1																	
XBB.1.5.88	2	10	#F1C892	1	1																	
XBB.1.5.9	2	10	#F1C892	1	1																	
XBB.1.5.92	2	10	#F1C892	1	1																	
HQ.1	2	10	#5E63F8	1	1																	
XBB.1.5.93	2	10	#F1C892	1	1																	
XBB.1.5.94	2	10	#888888	1	1																	
XBB.1.5.95	2	10	#F1C892	1	1																	
XBB.1.9.1	2	10	#F1C892	1	1																	
FL.10	2	10	#F1C892	1	1																	
FL.10.1	2	10	#5E63F8	1	1																	
FL.11	2	10	#F1C892	1	1																	
FL.12	2	10	#F1C892	1	1																	
FL.13	2	10	#F1C892	1	1																	
FL.13.3	2	10	#F1C892	1	1																	
FL.15	2	10	#EFC8D7	1	1																	
FL.17	2	10	#F1C892	1	1																	
FL.18	2	10	#F1C892	1	1																	
FL.18.1	2	10	#F1C892	1	1																	
FL.19	2	10	#F1C892	1	1																	
FL.19.1	2	10	#EFC8D7	1	1																	
FL.2	2	10	#F1C892	1	1																	
FL.2.1	2	10	#F1C892	1	1																	
FL.2.3	2	10	#F1C892	1	1																	
FL.2.4	2	10	#F1C892	1	1																	
FL.20	2	10	#AAD492	1	1																	
FL.21	2	10	#F1C892	1	1																	
FL.21.2	2	10	#F1C892	1	1																	
FL.22	2	10	#F1C892	1	1																	
FL.25	2	10	#5E63F8	1	1																	
FL.26	2	10	#F1C892	1	1																	
FL.27	2	10	#F1C892	1	1																	
FL.3	2	10	#F1C892	1	1																	
FL.3.1	2	10	#F1C892	1	1																	
FL.3.2	2	10	#F1C892	1	1																	
FL.3.3	2	10	#F1C892	1	1																	
FL.3.4	2	10	#F1C892	1	1																	
FL.4	2	10	#F1C892	1	1																	
FL.4.5	2	10	#F1C892	1	1																	
FL.4.6	2	10	#F1C892	1	1																	
FL.5	2	10	#F1C892	1	1																	
FL.6	2	10	#F1C892	1	1																	
FL.8	2	10	#F1C892	1	1																	
FL.9	2	10	#F1C892	1	1																	
XBB.1.9.2	2	10	#F1C892	1	1																	
EG.1.2	2	10	#888888	1	1																	
EG.1.3	2	10	#888888	1	1																	
EG.1.4	2	10	#888888	1	1																	
EG.1.6	2	10	#888888	1	1																	
EG.11	2	10	#5E63F8	1	1																	
EG.3	2	10	#F1C892	1	1																	
EG.4	2	10	#F1C892	1	1																	
EG.4.3	2	10	#888888	1	1																	
EG.4.4	2	10	#F1C892	1	1																	
EG.5.1.1	2	10	#AAD492	1	1																	
EG.5.1.2	2	10	#AAD492	1	1																	
EG.5.1.3	2	10	#AAD492	1	1																	
EG.5.1.4	2	10	#AAD492	1	1																	
EG.5.1.5	2	10	#AAD492	1	1																	
EG.5.2	2	10	#EFC8D7	1	1																	
EG.5.2.2	2	10	#EFC8D7	1	1																	
EG.6.1	2	10	#EFC8D7	1	1																	
XBB.2.3.10	2	10	#A1A9FA	1	1																	
XBB.2.3.13	2	10	#A1A9FA	1	1																	
XBB.2.3.14	2	10	#A1A9FA	1	1																	
GJ.1	2	10	#DB726B	1	1																	
GJ.1.2	2	10	#DB726B	1	1																	
GJ.3	2	10	#DB726B	1	1																	
XBB.2.3.6	2	10	#A1A9FA	1	1																	
XBB.2.3.7	2	10	#A1A9FA	1	1																	
XBB.2.3.8	2	10	#E2D268	1	1																	
HK.2	2	10	#E2E2E2	1	1																	
XBB.2.12	2	10	#E2E2E2	1	1																	
HU.1	2	10	#E2E2E2	1	1																	
HU.1.1	2	10	#E2E2E2	1	1																	
HT.2	2	10	#E2E2E2	1	1																	
FL.7	2	10	#E2E2E2	1	1																	
HV.1	2	10	#E2E2E2	1	1																	
EG.5.1.6	2	10	#E2E2E2	1	1																	
XBB.1.16.12	2	10	#E2E2E2	1	1																	
HK.1	2	10	#E2E2E2	1	1																	
FT.3.1.1	2	10	#E2E2E2	1	1																	
FL.20.1	2	10	#E2E2E2	1	1																	
HK.5	2	10	#E2E2E2	1	1																	
HK.4	2	10	#E2E2E2	1	1																	
FT.3.1	2	10	#E2E2E2	1	1																	
FT.3	2	10	#E2E2E2	1	1																	
HN.1	2	10	#E2E2E2	1	1																	
EG.1.1	2	10	#E2E2E2	1	1																	
FL.17.1	2	10	#E2E2E2	1	1																	
XBB.1.14.1	2	10	#E2E2E2	1	1																	
XBB.1.14	2	10	#E2E2E2	1	1																	
HU.2	2	10	#E2E2E2	1	1																	
XBB.2.3.1	2	10	#E2E2E2	1	1																	
GD.2	2	10	#E2E2E2	1	1																	
JB.1	2	10	#E2E2E2	1	1																	
JB.2	2	10	#E2E2E2	1	1																	
XBB.1.5.53	2	10	#E2E2E2	1	1																	
XBB.1.47.1	2	10	#E2E2E2	1	1																	
FL.23	2	10	#E2E2E2	1	1																	
XBB.1.5.60	2	10	#E2E2E2	1	1																	
GY.4	2	10	#E2E2E2	1	1																	
GM.2	2	10	#E2E2E2	1	1																	
XBB.1.34.2	2	10	#E2E2E2	1	1																	
HB.1	2	10	#E2E2E2	1	1																	
FY.3.1	2	10	#E2E2E2	1	1																	
XBB.1.6	2	10	#E2E2E2	1	1																	
FD.2	2	10	#E2E2E2	1	1																	
FD.2.1	2	10	#E2E2E2	1	1																	
XBB.1.5.22	2	10	#E2E2E2	1	1																	
FP.3	2	10	#E2E2E2	1	1																	
HC.1	2	10	#E2E2E2	1	1																	
XBB.1.5.2	2	10	#E2E2E2	1	1																	
XBB.1.16.15	2	10	#E2E2E2	1	1																	
HZ.3	2	10	#E2E2E2	1	1																	
HT.1	2	10	#E2E2E2	1	1																	
GJ.4	2	10	#E2E2E2	1	1																	
EG.1.7	2	10	#E2E2E2	1	1																	
EU.1.1.3	2	10	#E2E2E2	1	1																	
XBB.1.5.101	2	10	#E2E2E2	1	1																	
XBB.1.24.2	2	10	#E2E2E2	1	1																	
XBB.1.5.85	2	10	#E2E2E2	1	1																	
GY.3	2	10	#E2E2E2	1	1																	
XBB.1.5.84	2	10	#E2E2E2	1	1																	
FL.5.1	2	10	#E2E2E2	1	1																	
XBB.3.2	2	10	#E2E2E2	1	1																	
FG.2	2	10	#E2E2E2	1	1																	
FU.3.1	2	10	#E2E2E2	1	1																	
GY.2.1	2	10	#E2E2E2	1	1																	
XBB.1.16.14	2	10	#E2E2E2	1	1																	
FU.4	2	10	#E2E2E2	1	1																	
XBB.1.16.11	2	10	#E2E2E2	1	1																	
FU.2.1	2	10	#E2E2E2	1	1																	
XBB.1.16.17	2	10	#E2E2E2	1	1																	
XBB.1.16.20	2	10	#E2E2E2	1	1																	
XBB.1.16.16	2	10	#E2E2E2	1	1																	
XBB.1.16.4	2	10	#E2E2E2	1	1																	
XBB.1.16.7	2	10	#E2E2E2	1	1																	
XBB.1.16.8	2	10	#E2E2E2	1	1																	
HH.1.1	2	10	#E2E2E2	1	1																	
GJ.1.1	2	10	#E2E2E2	1	1																	
GJ.1.2.1	2	10	#E2E2E2	1	1																	
GJ.2	2	10	#E2E2E2	1	1																	
XBB.2.3.2	2	10	#E2E2E2	1	1																	
HH.1	2	10	#E2E2E2	1	1																	
HH.2	2	10	#E2E2E2	1	1																	
GK.1.2	2	10	#E2E2E2	1	1																	
GE.1	2	10	#E2E2E2	1	1																	
GZ.1	2	10	#E2E2E2	1	1																	
FP.2.1.1	2	10	#E2E2E2	1	1																	
FP.2	2	10	#E2E2E2	1	1																	
FP.2.1.2	2	10	#E2E2E2	1	1																	
FP.2.1	2	10	#E2E2E2	1	1																	
FY.2.1	2	10	#E2E2E2	1	1																	
FT.1	2	10	#E2E2E2	1	1																	
FY.4.2	2	10	#E2E2E2	1	1																	
FY.7	2	10	#E2E2E2	1	1																	
FY.4.1.1	2	10	#E2E2E2	1	1																	
FY.4.1	2	10	#E2E2E2	1	1																	
FY.1.2	2	10	#E2E2E2	1	1																	
FY.1.3	2	10	#E2E2E2	1	1																	
FY.5	2	10	#E2E2E2	1	1																	
FL.18.1.1	2	10	#E2E2E2	1	1																	
GS.1	2	10	#E2E2E2	1	1																	
EM.1	2	10	#E2E2E2	1	1																	
FL.23.1	2	10	#E2E2E2	1	1																	
GA.6	2	10	#E2E2E2	1	1																	
GA.4	2	10	#E2E2E2	1	1																	
FL.16	2	10	#E2E2E2	1	1																	
EG.1.4.1	2	10	#E2E2E2	1	1																	
XBB.1.24.3	2	10	#E2E2E2	1	1																	
EK.2	2	10	#E2E2E2	1	1																	
EK.2.1	2	10	#E2E2E2	1	1																	
XBB.1.5.42	2	10	#E2E2E2	1	1																	
GR.1	2	10	#E2E2E2	1	1																	
FL.4.2	2	10	#E2E2E2	1	1																	
XBB.1.29	2	10	#E2E2E2	1	1																	
FL.2.2	2	10	#E2E2E2	1	1																	
FL.2.2.1	2	10	#E2E2E2	1	1																	
FL.2.5	2	10	#E2E2E2	1	1																	
XBB.1.5.12	2	10	#E2E2E2	1	1																	
GC.1	2	10	#E2E2E2	1	1																	
XBB.1.28	2	10	#E2E2E2	1	1																	
XBB.1.41	2	10	#E2E2E2	1	1																	
XBB.1.41.1	2	10	#E2E2E2	1	1																	
EG.10.1	2	10	#E2E2E2	1	1																	
EG.10	2	10	#E2E2E2	1	1																	
EG.9.1	2	10	#E2E2E2	1	1																	
HD.1.1	2	10	#E2E2E2	1	1																	
FD.3	2	10	#E2E2E2	1	1																	
XBB.1.5.30	2	10	#E2E2E2	1	1																	
XBB.1.5.29	2	10	#E2E2E2	1	1																	
FW.1	2	10	#E2E2E2	1	1																	
XBB.1.28.1	2	10	#E2E2E2	1	1																	
FW.2	2	10	#E2E2E2	1	1																	
FW.3	2	10	#E2E2E2	1	1																	
XBB.1.5.44	2	10	#E2E2E2	1	1																	
FL.13.2	2	10	#E2E2E2	1	1																	
FL.2.3.1	2	10	#E2E2E2	1	1																	
EG.8	2	10	#E2E2E2	1	1																	
EG.7	2	10	#E2E2E2	1	1																	
XBB.1.9.6	2	10	#E2E2E2	1	1																	
EU.1.1.2	2	10	#E2E2E2	1	1																	
XBB.1.5.3	2	10	#E2E2E2	1	1																	
FL.13.1	2	10	#E2E2E2	1	1																	
XBB.1.32.1	2	10	#E2E2E2	1	1																	
FL.4.1	2	10	#E2E2E2	1	1																	
FL.17.2	2	10	#E2E2E2	1	1																	
FL.4.7	2	10	#E2E2E2	1	1																	
XBB.1.44	2	10	#E2E2E2	1	1																	
XBB.1.12	2	10	#E2E2E2	1	1																	
XBB.1.32	2	10	#E2E2E2	1	1																	
XBB.1.40	2	10	#E2E2E2	1	1																	
GD.1	2	10	#E2E2E2	1	1																	
XBB.1.31	2	10	#E2E2E2	1	1																	
GK.3.1	2	10	#E2E2E2	1	1																	
GW.5	2	10	#E2E2E2	1	1																	
GK.2	2	10	#E2E2E2	1	1																	
GK.3	2	10	#E2E2E2	1	1																	
GK.1.1	2	10	#E2E2E2	1	1																	
GK.1	2	10	#E2E2E2	1	1																	
GK.1.3	2	10	#E2E2E2	1	1																	
XBB.1.5.70	2	10	#E2E2E2	1	1																	
XBB.1.48	2	10	#E2E2E2	1	1																	
FE.1.1.1	2	10	#E2E2E2	1	1																	
HE.1	2	10	#E2E2E2	1	1																	
FL.1.5	2	10	#E2E2E2	1	1																	
EG.5.2.1	2	10	#E2E2E2	1	1																	
EG.5.2.3	2	10	#E2E2E2	1	1																	
FE.1.1.2	2	10	#E2E2E2	1	1																	
FL.1.5.1	2	10	#E2E2E2	1	1																	
XBB.1.5.74	2	10	#E2E2E2	1	1																	
XBB.1.5.40	2	10	#E2E2E2	1	1																	
XBB.1.5.100	2	10	#E2E2E2	1	1																	
FL.1.6	2	10	#E2E2E2	1	1																	
XBB.1.5.41	2	10	#E2E2E2	1	1																	
XBB.1.21	2	10	#E2E2E2	1	1																	
FL.29	2	10	#E2E2E2	1	1																	
FL.26.1	2	10	#E2E2E2	1	1																	
XBB.1.5.71	2	10	#E2E2E2	1	1																	
XBB.1.24	2	10	#E2E2E2	1	1																	
XBB.1.24.1	2	10	#E2E2E2	1	1																	
GB.1	2	10	#E2E2E2	1	1																	
XBB.1.19.2	2	10	#E2E2E2	1	1																	
HA.2	2	10	#E2E2E2	1	1																	
FL.21.1	2	10	#E2E2E2	1	1																	
GW.3	2	10	#E2E2E2	1	1																	
XBB.1.34.1	2	10	#E2E2E2	1	1																	
XBB.1.5.1	2	10	#E2E2E2	1	1																	
HL.1	2	10	#E2E2E2	1	1																	
FZ.1.1	2	10	#E2E2E2	1	1																	
EG.1.8	2	10	#E2E2E2	1	1																	
FL.24	2	10	#E2E2E2	1	1																	
HL.2	2	10	#E2E2E2	1	1																	
XBB.1.5.50	2	10	#E2E2E2	1	1																	
XBB.1.5.90	2	10	#E2E2E2	1	1																	
XBB.1.5.91	2	10	#E2E2E2	1	1																	
EG.4.2	2	10	#E2E2E2	1	1																	
XBB.1.5.38	2	10	#E2E2E2	1	1																	
EL.1	2	10	#E2E2E2	1	1																	
EK.4	2	10	#E2E2E2	1	1																	
FL.1.1	2	10	#E2E2E2	1	1																	
FL.1	2	10	#E2E2E2	1	1																	
FL.1.2	2	10	#E2E2E2	1	1																	
FL.1.3	2	10	#E2E2E2	1	1																	
XBB.1.44.1	2	10	#E2E2E2	1	1																	
GF.1	2	10	#E2E2E2	1	1																	
FL.4.3	2	10	#E2E2E2	1	1																	
FZ.2	2	10	#E2E2E2	1	1																	
XBB.1.5.56	2	10	#E2E2E2	1	1																	
EG.4.1	2	10	#E2E2E2	1	1																	
XBB.1.4.2	2	10	#E2E2E2	1	1																	
FH.1	2	10	#E2E2E2	1	1																	
XBB.1.5.4	2	10	#E2E2E2	1	1																	
FG.3	2	10	#E2E2E2	1	1																	
XBB.1.5.6	2	10	#E2E2E2	1	1																	
FT.2	2	10	#E2E2E2	1	1																	
XBB.1.5.37	2	10	#E2E2E2	1	1																	
FL.14	2	10	#E2E2E2	1	1																	
XBB.1.5.5	2	10	#E2E2E2	1	1																	
XBB.1.5.35	2	10	#E2E2E2	1	1																	
XBB.1.34	2	10	#E2E2E2	1	1																	
XBB.1.13	2	10	#E2E2E2	1	1																	
XBB.1.36	2	10	#E2E2E2	1	1																	
XBB.1.7	2	10	#E2E2E2	1	1																	
XBB.1.4.1	2	10	#E2E2E2	1	1																	
XBB.1.38	2	10	#E2E2E2	1	1																	
XBB.1.4	2	10	#E2E2E2	1	1																	
XBB.1	2	10	#E2E2E2	1	1																	
XBB.1.1	2	10	#E2E2E2	1	1																	
XBB.1.15	2	10	#E2E2E2	1	1																	
XBB.1.18	2	10	#E2E2E2	1	1																	
XBB.1.2	2	10	#E2E2E2	1	1																	
XBB.1.20	2	10	#E2E2E2	1	1																	
XBB.1.25	2	10	#E2E2E2	1	1																	
XBB.1.26	2	10	#E2E2E2	1	1																	
XBB.1.30	2	10	#E2E2E2	1	1																	
XBB.1.37	2	10	#E2E2E2	1	1																	
XBB.1.43	2	10	#E2E2E2	1	1																	
XBB.1.8	2	10	#E2E2E2	1	1																	
XBB.1.9	2	10	#E2E2E2	1	1																	
XBB.1.9.4	2	10	#E2E2E2	1	1																	
XBB.1.11	2	10	#E2E2E2	1	1																	
XBB.1.3	2	10	#E2E2E2	1	1																	
HZ.1	2	10	#E2E2E2	1	1																	
XBB.1.5.89	2	10	#E2E2E2	1	1																	
XBB.1.42.1	2	10	#E2E2E2	1	1																	
GG.1	2	10	#E2E2E2	1	1																	
FL.1.4	2	10	#E2E2E2	1	1																	
FL.1.7	2	10	#E2E2E2	1	1																	
HY.1	2	10	#E2E2E2	1	1																	
XBB.1.5.27	2	10	#E2E2E2	1	1																	
XBB.1.5.28	2	10	#E2E2E2	1	1																	
GV.1	2	10	#E2E2E2	1	1																	
HP.1.1	2	10	#E2E2E2	1	1																	
HR.1	2	10	#E2E2E2	1	1																	
XBB.1.5.81	2	10	#E2E2E2	1	1																	
XBB.1.5.87	2	10	#E2E2E2	1	1																	
HS.1	2	10	#E2E2E2	1	1																	
FL.28	2	10	#E2E2E2	1	1																	
EG.2	2	10	#E2E2E2	1	1																	
XBB.1.9.7	2	10	#E2E2E2	1	1																	
XBB.1.27	2	10	#E2E2E2	1	1																	
XBB.1.5.98	2	10	#E2E2E2	1	1																	
FL.4.4	2	10	#E2E2E2	1	1																	
EK.1	2	10	#E2E2E2	1	1																	
HP.1	2	10	#E2E2E2	1	1																	
XBB.1.5.83	2	10	#E2E2E2	1	1																	
EG.6	2	10	#E2E2E2	1	1																	
GW.2	2	10	#E2E2E2	1	1																	
XBB.1.33	2	10	#E2E2E2	1	1																	
EU.1	2	10	#E2E2E2	1	1																	
XBB.2.7.1	2	10	#E2E2E2	1	1																	
JA.1	2	10	#E2E2E2	1	1																	
XBB.2.3.12	2	10	#E2E2E2	1	1																	
GM.1	2	10	#E2E2E2	1	1																	
XBB.2.4	2	10	#E2E2E2	1	1																	
XBB.2.6.1	2	10	#E2E2E2	1	1																	
GH.1	2	10	#E2E2E2	1	1																	
XBB.2.2	2	10	#E2E2E2	1	1																	
XBB.2.5	2	10	#E2E2E2	1	1																	
XBB.2.11.1	2	10	#E2E2E2	1	1																	
XBB.2	2	10	#E2E2E2	1	1																	
XBB.2.6	2	10	#E2E2E2	1	1																	
XBB.2.7	2	10	#E2E2E2	1	1																	
XBB.2.8	2	10	#E2E2E2	1	1																	
XBB.2.1	2	10	#E2E2E2	1	1																	
XBB.2.3.5	2	10	#E2E2E2	1	1																	
XBB.2.3.4	2	10	#E2E2E2	1	1																	
HJ.1	2	10	#E2E2E2	1	1																	
XBB.4	2	10	#E2E2E2	1	1																	
XBB.1.12.1	2	10	#E2E2E2	1	1																	
XBB.1.39	2	10	#E2E2E2	1	1																	
XBB.1.31.1	2	10	#E2E2E2	1	1																	
XBB.2.9	2	10	#E2E2E2	1	1																	
XBB.8.2	2	10	#E2E2E2	1	1																	
FZ.1	2	10	#E2E2E2	1	1																	
GC.2	2	10	#E2E2E2	1	1																	
XBB.6.1	2	10	#E2E2E2	1	1																	
XBB.1.5.96	2	10	#E2E2E2	1	1																	
XBB.7	2	10	#E2E2E2	1	1																	
XBB.5	2	10	#E2E2E2	1	1																	
XBB.3.1	2	10	#E2E2E2	1	1																	
XBB	2	10	#E2E2E2	1	1																	
XBB.1.17	2	10	#E2E2E2	1	1																	
XBB.1.17.2	2	10	#E2E2E2	1	1																	
XBB.1.9.3	2	10	#E2E2E2	1	1																	
XBB.1.9.5	2	10	#E2E2E2	1	1																	
XBB.3	2	10	#E2E2E2	1	1																	
XBB.6	2	10	#E2E2E2	1	1																	
XBB.8	2	10	#E2E2E2	1	1																	
XBB.9	2	10	#E2E2E2	1	1																	
XBB.3.3	2	10	#E2E2E2	1	1																	
XBB.3.4	2	10	#E2E2E2	1	1																	
XBB.8.1	2	10	#E2E2E2	1	1																	
FD.4.1	2	10	#E2E2E2	1	1																	
GB.2	2	10	#E2E2E2	1	1																	
XBB.1.5.97	2	10	#E2E2E2	1	1																	
GU.1	2	10	#E2E2E2	1	1																	
FL.1.1.1	2	10	#E2E2E2	1	1																	
XBB.1.13.1	2	10	#E2E2E2	1	1																	
GY.1	2	10	#E2E2E2	1	1																	
FU.5	2	10	#E2E2E2	1	1																	
XBB.1.5.25	2	10	#E2E2E2	1	1																	
EG.1.5	2	10	#E2E2E2	1	1																	
XBB.2.3.9	2	10	#E2E2E2	1	1																	
HG.1	2	10	#E2E2E2	1	1																	
FY.1.1	2	10	#E2E2E2	1	1																	
FP.1	2	10	#E2E2E2	1	1																	
GN.3	2	10	#E2E2E2	1	1																	
XBB.1.5.58	2	10	#E2E2E2	1	1																	
XBB.1.5.45	2	10	#E2E2E2	1	1																	
XBB.2.6.2	2	10	#E2E2E2	1	1																	
XBB.1.5.99	2	10	#E2E2E2	1	1																	
EG.9	2	10	#E2E2E2	1	1																	
XBB.1.23	2	10	#E2E2E2	1	1																	
XBB.1.10	2	10	#E2E2E2	1	1																	
XBB.4.1	2	10	#E2E2E2	1	1																	
XBB.1.46	2	10	#E2E2E2	1	1																	
